16/12/2022 11:48:40PM | Item: Five-SeveN | Scrawl (Field-Tested) | Float: 0.16650205850601196 | Price: 0.36 |
16/12/2022 11:48:47PM | Item: Five-SeveN | Scrawl (Field-Tested) | Float: 0.16280049085617065 | Price: 0.36 |
16/12/2022 11:53:15PM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.1863788366317749 | Price: 0.37 |
17/12/2022 12:17:59AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24453270435333252 | Price: 0.43 |
17/12/2022 12:18:05AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.23958534002304077 | Price: 0.43 |
17/12/2022 12:18:11AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.23532187938690186 | Price: 0.43 |
17/12/2022 12:38:14AM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.18910424411296844 | Price: 0.37 |
17/12/2022 12:38:20AM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.17098723351955414 | Price: 0.38 |
17/12/2022 12:43:10AM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.17831949889659882 | Price: 0.38 |
17/12/2022 12:53:45AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.23958534002304077 | Price: 0.43 |
17/12/2022 12:58:10AM | Item: Glock-18 | Death Rattle (Minimal Wear) | Float: 0.08283548802137375 | Price: 0.86 |
17/12/2022 01:03:36AM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.10239744931459427 | Price: 0.82 |
17/12/2022 01:03:45AM | Item: PP-Bizon | Jungle Slipstream (Minimal Wear) | Float: 0.10141056030988693 | Price: 0.83 |
17/12/2022 01:08:42AM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.1691248118877411 | Price: 0.37 |
17/12/2022 01:08:47AM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.1696648746728897 | Price: 0.37 |
17/12/2022 01:08:53AM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.17526930570602417 | Price: 0.37 |
17/12/2022 01:09:14AM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.17968542873859406 | Price: 0.38 |
17/12/2022 01:09:27AM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.18597841262817383 | Price: 0.37 |
17/12/2022 01:09:41AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.17098750174045563 | Price: 0.37 |
17/12/2022 01:14:01AM | Item: Sawed-Off | Spirit Board (Field-Tested) | Float: 0.16197046637535095 | Price: 0.36 |
17/12/2022 01:19:20AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.1887362003326416 | Price: 0.4 |
17/12/2022 01:19:25AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.1978810876607895 | Price: 0.4 |
